,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
82,CHEMBL1349185,CC1CCc2c(sc(NC(=O)c3cccs3)c2C(=O)O)C1,inactive,321.4230000000001,3.8849000000000027,2.0,4.0,4.698970004336019
83,CHEMBL1603938,Cc1ccc(C)c(SCC(=O)OC/C(O)=C(\C#N)c2nc3ccccc3[nH]2)c1,inactive,393.468,4.307920000000002,2.0,6.0,4.698970004336019
84,CHEMBL1698552,O=C(Nc1nc2ccccc2n1Cc1ccc(Cl)cc1)c1ccc(F)cc1,inactive,379.82200000000006,5.129400000000003,1.0,3.0,4.698970004336019
85,CHEMBL1373066,O=C(NC(=S)Nc1sc2c(c1C(=O)O)CCCC2)c1ccccc1,inactive,360.4600000000001,3.451900000000002,3.0,4.0,4.761953896871205
86,CHEMBL1698647,Cc1cc(C(=O)NC2CCCc3c2cnn3-c2ccccc2F)n(Cc2ccc(F)cc2)n1,inactive,447.4890000000001,4.511120000000003,1.0,5.0,4.698970004336019
87,CHEMBL1708434,CC(=O)Nc1nc2ccccc2n1S(=O)(=O)c1ccc(C)cc1,inactive,329.38100000000003,2.540120000000001,1.0,5.0,4.698970004336019
88,CHEMBL552443,O=C(O)c1c(NC(=O)N2CCOCC2)sc2c1CCCC2,inactive,310.3750000000001,2.1892000000000005,2.0,4.0,4.698970004336019
89,CHEMBL1338507,Cc1cc(Br)ccc1SCC(=O)OC/C(O)=C(\C#N)c1nc2ccccc2[nH]1,inactive,458.3370000000002,4.762000000000003,2.0,6.0,4.698970004336019
90,CHEMBL1728408,O=C(Nc1nc2ccccc2n1Cc1ccc(Cl)cc1)c1ccccc1,inactive,361.83200000000005,4.990300000000004,1.0,3.0,4.698970004336019
91,CHEMBL1718692,CC(=O)N1CCc2cc(S(=O)(=O)N3CCN(c4ccc(Cl)cc4)CC3)ccc21,inactive,419.93400000000014,2.759900000000002,0.0,4.0,4.698970004336019
92,CHEMBL3145165,Cc1ccc2cccc(N=Cc3c(C)[nH]n(-c4ccccc4)c3=O)c2n1,inactive,342.4020000000001,4.081240000000003,1.0,4.0,4.698970004336019
93,CHEMBL599890,Cc1nonc1C(=O)NN=Cc1ccc([N+](=O)[O-])o1,inactive,265.185,0.6431199999999999,1.0,8.0,4.705533773838407
94,CHEMBL1699379,CCC(=O)N1CCc2cc(S(=O)(=O)N3CCN(c4ccc(Cl)cc4)CC3)ccc21,inactive,433.9610000000002,3.150000000000002,0.0,4.0,4.698970004336019
95,CHEMBL1709366,Cn1nccc1C(=O)N[C@@H]1CCCc2c1cnn2-c1ccccc1F,inactive,339.374,2.5523000000000007,1.0,5.0,4.698970004336019
96,CHEMBL1718809,O=C(Nc1nc2ccccc2n1Cc1ccccc1Cl)C1CCCCC1,inactive,367.8800000000002,5.256800000000004,1.0,3.0,4.698970004336019
97,CHEMBL1729147,Nc1nc2ccccc2n1C(=O)Cc1ccccc1,inactive,251.28899999999996,2.5014000000000003,1.0,4.0,4.698970004336019
98,CHEMBL1719472,CCc1cc(C(=O)NC2CCCc3c2cnn3-c2ccccc2F)no1,inactive,354.385,3.369200000000002,1.0,5.0,4.698970004336019
99,CHEMBL1535050,Nc1nc2ccccc2n1C(=O)c1ccc(F)cc1,inactive,255.25199999999995,2.4461000000000004,1.0,4.0,4.698970004336019
100,CHEMBL1387448,CC1(C)Cc2c(sc(NC(=O)c3ccccc3)c2C(=O)O)CO1,inactive,331.39300000000014,3.549900000000002,2.0,4.0,4.698970004336019
101,CHEMBL1534716,O=C(Nc1nc2ccccc2n1Cc1ccccc1)c1ccco1,inactive,317.34800000000007,3.9299000000000026,1.0,4.0,4.698970004336019
102,CHEMBL1700026,CCC(=O)N1CCc2cc(S(=O)(=O)N3CCN(c4ccc([N+](=O)[O-])cc4)CC3)ccc21,inactive,444.5130000000002,2.4048000000000007,0.0,6.0,4.698970004336019
103,CHEMBL1729457,CCC1CCc2c(sc(NC(=O)c3ccccc3Br)c2C(=O)OC)C1,inactive,422.34400000000016,5.064400000000004,1.0,4.0,4.698970004336019
104,CHEMBL1332003,O=C(Nc1nc2ccccc2n1Cc1ccc(Cl)cc1)c1ccco1,inactive,351.79300000000006,4.583300000000003,1.0,4.0,4.698970004336019
105,CHEMBL1719579,O=C(Nc1ccc(CN2CCc3ccccc3C2)cc1)c1ccc(Cl)cc1,inactive,376.88700000000006,5.150600000000004,1.0,2.0,4.698970004336019
106,CHEMBL1332003,O=C(Nc1nc2ccccc2n1Cc1ccc(Cl)cc1)c1ccco1,inactive,351.79300000000006,4.583300000000003,1.0,4.0,4.698970004336019
107,CHEMBL1700382,COc1ccc(C(=O)Nc2nc3ccccc3n2Cc2ccc(Cl)cc2)cc1,inactive,391.85800000000006,4.998900000000004,1.0,4.0,4.698970004336019
108,CHEMBL1519375,C/C=C/Cn1c(SCCCc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C,inactive,370.4780000000002,2.7243000000000004,1.0,6.0,4.772113295386326
109,CHEMBL1388356,Cc1cccc(-n2nc3c4c(ccc3c2O)C(=O)c2ccccc2C4=O)c1,inactive,354.36500000000007,3.8149200000000025,1.0,5.0,4.7495799976911055
